,,
LeVeon Bell,RB,PIT
Todd Gurley,RB,LAR
David Johnson,RB,ARI
Ezekiel Elliott,RB,DAL
Antonio Brown,WR,PIT
Alvin Kamara,RB,NO
Melvin Gordon,RB,LAC
Kareem Hunt,RB,KC
Saquon Barkley,RB,NYG
DeAndre Hopkins,WR,HOU
Julio Jones,WR,ATL
Leonard Fournette,RB,JAC
Dalvin Cook,RB,MIN
Odell Beckham,WR,NYG
Rob Gronkowski,TE,NE
Michael Thomas,WR,NO
Christian McCaffrey,RB,CAR
Keenan Allen,WR,LAC
Devonta Freeman,RB,ATL
A.J. Green,WR,CIN
Davante Adams,WR,GB
Jerick McKinnon,RB,SF
Travis Kelce,TE,KC
Tyreek Hill,WR,KC
Aaron Rodgers,QB,GB
Jordan Howard,RB,CHI
LeSean McCoy,RB,BUF
T.Y. Hilton,WR,IND
Mike Evans,WR,TB
Doug Baldwin,WR,SEA
Stefon Diggs,WR,MIN
Joe Mixon,RB,CIN
Adam Thielen,WR,MIN
Brandin Cooks,WR,LAR
Amari Cooper,WR,OAK
Zach Ertz,TE,PHI
Larry Fitzgerald,WR,ARI
Marvin Jones,WR,DET
Tom Brady,QB,NE
Russell Wilson,QB,SEA
Alex Collins,RB,BAL
Kenyan Drake,RB,MIA
Demaryius Thomas,WR,DEN
Derrick Henry,RB,TEN
Lamar Miller,RB,HOU
Golden Tate,WR,DET
Cam Newton,QB,CAR
JuJu Smith-Schuster,WR,PIT
Jay Ajayi,RB,PHI
Allen Robinson,WR,CHI
Alshon Jeffery,WR,PHI
Jarvis Landry,WR,CLE
Josh Gordon,WR,CLE
Evan Engram,TE,NYG
Greg Olsen,TE,CAR
Michael Crabtree,WR,BAL
Deshaun Watson,QB,HOU
Jimmy Graham,TE,GB
Mark Ingram,RB,NO
Delanie Walker,TE,TEN
Drew Brees,QB,NO
Chris Hogan,WR,NE
Marquise Goodwin,WR,SF
Rex Burkhead,RB,NE
Sammy Watkins,WR,KC
Tevin Coleman,RB,ATL
Devin Funchess,WR,CAR
Royce Freeman,RB,DEN
Pierre Garcon,WR,SF
Dion Lewis,RB,TEN
Kyle Rudolph,TE,MIN
Carson Wentz,QB,PHI
Emmanuel Sanders,WR,DEN
Marlon Mack,RB,IND
Rashaad Penny,RB,SEA
Robby Anderson,WR,NYJ
Chris Thompson,RB,WAS
Robert Woods,WR,LAR
Randall Cobb,WR,GB
Marshawn Lynch,RB,OAK
Corey Davis,WR,TEN
Isaiah Crowell,RB,NYJ
Ronald Jones II,RB,TB
Cooper Kupp,WR,LAR
Matthew Stafford,QB,DET
Kirk Cousins,QB,MIN
Nelson Agholor,WR,PHI
Duke Johnson,RB,CLE
Ben Roethlisberger,QB,PIT
DeVante Parker,WR,MIA
Jack Doyle,TE,IND
Jordy Nelson,WR,OAK
Rishard Matthews,WR,TEN
Jamison Crowder,WR,WAS
Jordan Reed,TE,WAS
Kenny Stills,WR,MIA
Marqise Lee,WR,JAC
Andrew Luck,QB,IND
Sterling Shepard,WR,NYG
Will Fuller,WR,HOU
Carlos Hyde,RB,CLE
Tarik Cohen,RB,CHI
Jamaal Williams,RB,GB
Alex Smith,QB,WAS
Tyrell Williams,WR,LAC
Jimmy Garoppolo,QB,SF
Philip Rivers,QB,LAC
Kelvin Benjamin,WR,BUF
Matt Ryan,QB,ATL
Mohamed Sanu,WR,ATL
Trey Burton,TE,CHI
Devontae Booker,RB,DEN
Kerryon Johnson,RB,DET
James White,RB,NE
Ty Montgomery,RB,GB
Dak Prescott,QB,DAL
Julian Edelman,WR,NE
Marcus Mariota,QB,TEN
Ted Ginn,WR,NO
Kenny Golladay,WR,DET
Jared Goff,QB,LAR
DeSean Jackson,WR,TB
Patrick Mahomes,QB,KC
Blake Bortles,QB,JAC
Sony Michel,RB,NE
Tyler Lockett,WR,SEA
Josh Doctson,WR,WAS
Allen Hurns,WR,DAL
David Njoku,TE,CLE
George Kittle,TE,SF
Giovani Bernard,RB,CIN
Bilal Powell,RB,NYJ
Charles Clay,TE,BUF
Theo Riddick,RB,DET
Jared Cook,TE,OAK
Cameron Brate,TE,TB
Tyler Eifert,TE,CIN
Cameron Meredith,WR,NO
Martavis Bryant,WR,OAK
Danny Amendola,WR,MIA
Calvin Ridley,WR,ATL
C.J. Anderson,RB,CAR
Matt Breida,RB,SF
Corey Clement,RB,PHI
Eric Ebron,TE,IND
Mitch Trubisky,QB,CHI
John Ross,WR,CIN
Frank Gore,RB,MIA
Austin Hooper,TE,ATL
Vance McDonald,TE,PIT
Ryan Tannehill,QB,MIA
Benjamin Watson,TE,NO
O.J. Howard,TE,TB
Paul Richardson,WR,WAS
D.J. Moore,WR,CAR
Nyheim Hines,RB,IND
Andy Dalton,QB,CIN
Austin Seferian-Jenkins,TE,JAC
Quincy Enunwa,WR,NYJ
Ricky Seals-Jones,TE,ARI
Austin Ekeler,RB,LAC
Doug Martin,RB,OAK
Case Keenum,QB,DEN
Chris Godwin,WR,TB
Derek Carr,QB,OAK
Eli Manning,QB,NYG
Chris Ivory,RB,BUF
Mike Wallace,WR,PHI
Nick Chubb,RB,CLE
Latavius Murray,RB,MIN
Javorius Allen,RB,BAL
Jermaine Kearse,WR,NYJ
Terrance Williams,WR,DAL
Chris Carson,RB,SEA
John Brown,WR,BAL
Travis Benjamin,WR,LAC
DOnta Foreman,RB,HOU
Mike Williams,WR,LAC
Ryan Grant,WR,IND
Anthony Miller,WR,CHI
Dede Westbrook,WR,JAC
Courtland Sutton,WR,DEN
Mike Gesicki,TE,MIA
Michael Gallup,WR,DAL
Keelan Cole,WR,JAC
Donte Moncrief,WR,JAC
Aaron Jones,RB,GB
Corey Coleman,WR,BUF
Brandon Marshall,WR,SEA
Peyton Barber,RB,TB
Hayden Hurst,TE,BAL
Jameis Winston,QB,TB
Darren Sproles,RB,PHI
Albert Wilson,WR,MIA
T.J. Yeldon,RB,JAC
Cole Beasley,WR,DAL
LeGarrette Blount,RB,DET
Vernon Davis,TE,WAS
Geronimo Allison,WR,GB
Terrelle Pryor,WR,NYJ
Willie Snead,WR,BAL
